Year Added,Number,Family,Subfamily,Tribe,Genus,Species,Code,Common Name,ITIS ID,Other Scientific Names,Native?,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length,Other Notes,Sources
2015,62,Andrenidae,Andreninae,N/A,Andrena,bellidoides,anbellidoides,Mining Bee,752182,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,63,Andrenidae,Andreninae,N/A,Andrena,bendensis,anbendensis,Mining Bee,654178,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,64,Andrenidae,Andreninae,N/A,Andrena,berberidis,anberberidis,Mining Bee,654179,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015
2015,65,Andrenidae,Andreninae,N/A,Andrena,berkeleyi,anberkeleyi,Mining Bee,654180,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1967; Viereck and Cockerell 1914
2015,66,Andrenidae,Andreninae,N/A,Andrena,bernardina,anbernardina,Mining Bee,654181,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge and Thorp 2005
2015,67,Andrenidae,Andreninae,N/A,Andrena,biareola,anbiareola,Mining Bee,654182,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1971
2015,68,Andrenidae,Andreninae,N/A,Andrena,bicolor,anbicolor,Mining Bee,752189,.,N,Ground,Bivoltine,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; BWARS 2015; ITIS 2015; Naturespot 2015
2015,69,Andrenidae,Andreninae,N/A,Andrena,bimaculata,anbimaculata,Mining Bee,752195,.,N,Ground,Bivoltine,Solitary,Generalist,Short,.,Ascher and Pickering 2015; BISON 2015; BWARS 2015; ITIS 2015
2015,70,Andrenidae,Andreninae,N/A,Andrena,birtwelli,anbirtwelli,Mining Bee,654184,.,.,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; ITIS 2015; LaBerge 1980
2015,71,Andrenidae,Andreninae,N/A,Andrena,bisalicis,anbisalicis,Mining Bee,654185,.,Y,Ground,.,Solitary,.,Short,.,Ascher and Pickering 2015; BISON 2015; Danforth 2009; Hilty 2015; ITIS 2015; Mitchell 1960; VanDyk 2015
